Subject,Exam,ExDir,SeriesName,SerDir
7403,1710,e1446116,anat-1-1,s1461475_160_fspgrquad_s10
7403,1710,e1446116,anat-1-2,s1461636_160_fspgrquad_s11
7403,1710,e1446116,run1L1,s1446169_2550_s4
7403,1710,e1446116,run1L2,s1448720_2550_s5
7403,1710,e1446116,run1L3,s1451271_2550_s6
7403,1710,e1446116,run1L4,s1453822_2550_s7
7403,1710,e1446116,run1L5,s1456373_2550_s8
7403,1710,e1446116,run1L6,s1458924_2550_s9
7403,1710,e1446116,run1M1,s1461797_6528_s12
7403,1710,e1446116,run1M2,s1468326_6528_s13
7403,1710,e1446116,run1M3,s1474855_6528_s14
7403,1710,e1446116,run1M4,s1481384_6528_s15
7403,1710,e1446116,run1M5,s1487913_6528_s16
7403,1710,e1446116,run1M6,s1494442_6528_s17
7403,1710,e1446116,run2L1,s1500987_2550_s20
7403,1710,e1446116,run2L2,s1503538_2550_s21
7403,1710,e1446116,run2L3,s1506089_2550_s22
7403,1710,e1446116,run2L4,s1508640_2550_s23
7403,1710,e1446116,run2L5,s1511191_2550_s24
7403,1710,e1446116,run2L6,s1513742_2550_s25
7403,1710,e1446116,run2M1,s1516293_3094_s26
7404,1714,e1563685,anat-1-1,s1575336_164_s11
7404,1714,e1563685,anat-2-1,s1641598_164_s30
7404,1714,e1563685,run1L1,s1563906_1904_s5
7404,1714,e1563685,run1L2,s1565811_1904_s6
7404,1714,e1563685,run1L3,s1567716_1904_s7
7404,1714,e1563685,run1L4,s1569621_1904_s8
7404,1714,e1563685,run1L5,s1571526_1904_s9
7404,1714,e1563685,run1L6,s1573431_1904_s10
7404,1714,e1563685,run1M1,s1596483_5610_s16
7404,1714,e1563685,run1M2,s1602094_5610_s17
7404,1714,e1563685,run1M3,s1607705_5610_s18
7404,1714,e1563685,run1M4,s1613316_5610_s19
7404,1714,e1563685,run1M5,s1618927_5610_s20
7404,1714,e1563685,run1M6,s1624538_5610_s21
7404,1714,e1563685,run2L1,s1630168_1904_s24
7404,1714,e1563685,run2L2,s1632073_1904_s25
7404,1714,e1563685,run2L3,s1633978_1904_s26
7404,1714,e1563685,run2L4,s1635883_1904_s27
7404,1714,e1563685,run2L5,s1637788_1904_s28
7404,1714,e1563685,run2L6,s1639693_1904_s29
7404,1714,e1563685,run2M1,s1641763_5610_s31
7404,1714,e1563685,run2M2,s1647374_5610_s32
7404,1714,e1563685,run2M3,s1652985_5610_s33
7404,1714,e1563685,run2M4,s1658596_5610_s34
7404,1714,e1563685,run2M5,s1664207_5610_s35
7404,1714,e1563685,run2M6,s1669818_5610_s36
7408,1845,e868430,anat-1-1,s868441_164_fspgr8ch_s2
7408,1845,e868430,anat-1-2,s880099_164_fspgrQuad_s13
7408,1845,e868430,anat-1-3,s880264_164_fspgrQuad_s14
7408,1845,e868430,anat-2-1,s925591_164_fspgrQuad_s30
7408,1845,e868430,run1L1,s868669_1904_s6
7408,1845,e868430,run1L2,s870574_1904_s8
7408,1845,e868430,run1L3,s872479_1904_s9
7408,1845,e868430,run1L4,s874384_1904_s10
7408,1845,e868430,run1L5,s876289_1904_s11
7408,1845,e868430,run1L6,s878194_1904_s12
7408,1845,e868430,run1M1,s880429_5610_s15
7408,1845,e868430,run1M2,s886040_5610_s16
7408,1845,e868430,run1M3,s891651_5610_s17
7408,1845,e868430,run1M4,s897262_5610_s18
7408,1845,e868430,run1M5,s902873_5610_s19
7408,1845,e868430,run1M6,s908484_5610_s20
7408,1845,e868430,run2L1,s914161_1904_s24
7408,1845,e868430,run2L2,s916066_1904_s25
7408,1845,e868430,run2L3,s917971_1904_s26
7408,1845,e868430,run2L4,s919876_1904_s27
7408,1845,e868430,run2L5,s921781_1904_s28
7408,1845,e868430,run2L6,s923686_1904_s29
7408,1845,e868430,run2M1,s925756_5610_s31
7408,1845,e868430,run2M2,s931367_5610_s32
7408,1845,e868430,run2M3,s936978_5610_s33
7408,1845,e868430,run2M4,s942589_5610_s34
7408,1845,e868430,run2M5,s948200_5610_s35
7408,1845,e868430,run2M6,s953811_5610_s36
7412,1858,e1341519,anat-1-1,s1341530_164_s2
7412,1858,e1341519,anat-1-2,s1353221_160_s12
7412,1858,e1341519,anat-2-1,s1398662_160_s28
7412,1858,e1341519,run1L1,s1341747_1904_s6
7412,1858,e1341519,run1L2,s1343659_1904_s7
7412,1858,e1341519,run1L3,s1345571_1904_s8
7412,1858,e1341519,run1L4,s1347484_1904_s9
7412,1858,e1341519,run1L5,s1349403_1904_s10
7412,1858,e1341519,run1L6,s1351308_1904_s11
7412,1858,e1341519,run1M1,s1353382_5610_s13
7412,1858,e1341519,run1M2,s1359015_5610_s14
7412,1858,e1341519,run1M3,s1364640_5610_s15
7412,1858,e1341519,run1M4,s1370273_5610_s16
7412,1858,e1341519,run1M5,s1375906_5610_s17
7412,1858,e1341519,run1M6,s1381517_5610_s18
7412,1858,e1341519,run2L1,s1387202_1904_s22
7412,1858,e1341519,run2L2,s1389119_1904_s23
7412,1858,e1341519,run2L3,s1391024_1904_s24
7412,1858,e1341519,run2L4,s1392929_1904_s25
7412,1858,e1341519,run2L5,s1394844_1904_s26
7412,1858,e1341519,run2L6,s1396749_1904_s27
7412,1858,e1341519,run2M1,s1398823_5610_s29
7412,1858,e1341519,run2M2,s1404441_5610_s30
7412,1858,e1341519,run2M3,s1410059_5610_s31
7412,1858,e1341519,run2M4,s1415676_5610_s32
7412,1858,e1341519,run2M5,s1421295_5610_s33
7412,1858,e1341519,run2M6,s1426910_5610_s34
7414,1849,e961783,anat-1-1,s973267_160_fspgrQuad_s10
7414,1849,e961783,anat-1-2,s973428_160_fspgrQuad_s11
7414,1849,e961783,anat-2-1,s1018739_160_fspgrQuad_s27
7414,1849,e961783,anat-2-2,s1052576_160_fspgr8ch_s35
7414,1849,e961783,run1L1,s961837_1904_s4
7414,1849,e961783,run1L2,s963742_1904_s5
7414,1849,e961783,run1L3,s965647_1904_s6
7414,1849,e961783,run1L4,s967552_1904_s7
7414,1849,e961783,run1L5,s969457_1904_s8
7414,1849,e961783,run1L6,s971362_1904_s9
7414,1849,e961783,run1M1,s973589_5610_s12
7414,1849,e961783,run1M2,s979200_5610_s13
7414,1849,e961783,run1M3,s984811_5610_s14
7414,1849,e961783,run1M4,s990422_5610_s15
7414,1849,e961783,run1M5,s996033_5610_s16
7414,1849,e961783,run1M6,s1001644_5610_s17
7414,1849,e961783,run2L1,s1007309_1904_s21
7414,1849,e961783,run2L2,s1009214_1904_s22
7414,1849,e961783,run2L3,s1011119_1904_s23
7414,1849,e961783,run2L4,s1013024_1904_s24
7414,1849,e961783,run2L5,s1014929_1904_s25
7414,1849,e961783,run2L6,s1016834_1904_s26
7414,1849,e961783,run2M1,s1018900_5610_s28
7414,1849,e961783,run2M2,s1024511_5610_s29
7414,1849,e961783,run2M3,s1030122_5610_s30
7414,1849,e961783,run2M4,s1035733_5610_s31
7414,1849,e961783,run2M5,s1041344_5610_s32
7414,1849,e961783,run2M6,s1046955_5610_s33
7418,1853,e1094631,anat-1-1,s1106112_160_s10
7418,1853,e1094631,anat-2-1,s1151872_160_s28
7418,1853,e1094631,run1L1,s1094682_1904_s4
7418,1853,e1094631,run1L2,s1096587_1904_s5
7418,1853,e1094631,run1L3,s1098492_1904_s6
7418,1853,e1094631,run1L4,s1100397_1904_s7
7418,1853,e1094631,run1L5,s1102302_1904_s8
7418,1853,e1094631,run1L6,s1104207_1904_s9
7418,1853,e1094631,run1M1,s1106273_5610_s11
7418,1853,e1094631,run1M2,s1111884_5610_s12
7418,1853,e1094631,run1M3,s1117495_5610_s13
7418,1853,e1094631,run1M4,s1123106_5610_s14
7418,1853,e1094631,run1M5,s1128717_5610_s15
7418,1853,e1094631,run1M6,s1134328_5610_s16
7418,1853,e1094631,run2L1,s1139989_1904_s20
7418,1853,e1094631,run2L2,s1141894_1904_s21
7418,1853,e1094631,run2L3,s1144242_1904_s23
7418,1853,e1094631,run2L4,s1146147_1904_s24
7418,1853,e1094631,run2L5,s1148052_1904_s25
7418,1853,e1094631,run2L6,s1149957_1904_s26
7418,1853,e1094631,run2M1,s1152047_5610_s31
7418,1853,e1094631,run2M2,s1157658_5610_s32
7418,1853,e1094631,run2M3,s1163269_5610_s34
7418,1853,e1094631,run2M4,s1168880_5610_s35
7418,1853,e1094631,run2M5,s1174491_5610_s36
7418,1853,e1094631,run2M6,s1180102_5610_s37
7430,3575,e3802320,anat-1-1,s3813783_332
7430,3575,e3802320,anat-2-1,s3859243_166
7430,3575,e3802320,anat-2-2,s3859410_166
7430,3575,e3802320,run1L1,s3802338_1904
7430,3575,e3802320,run1L2,s3804243_1904
7430,3575,e3802320,run1L3,s3806148_1904
7430,3575,e3802320,run1L4,s3808053_1904
7430,3575,e3802320,run1L5,s3809958_1904
7430,3575,e3802320,run1L6,s3811863_1904
7430,3575,e3802320,run1M1,s3814116_5610
7430,3575,e3802320,run1M2,s3819727_5610
7430,3575,e3802320,run1M3,s3825338_5610
7430,3575,e3802320,run1M4,s3830949_5610
7430,3575,e3802320,run1M5,s3836560_5610
7430,3575,e3802320,run1M6,s3842171_5610
7430,3575,e3802320,run2L1,s3847798_1904
7430,3575,e3802320,run2L2,s3849703_1904
7430,3575,e3802320,run2L3,s3851608_1904
7430,3575,e3802320,run2L4,s3853513_1904
7430,3575,e3802320,run2L5,s3855418_1904
7430,3575,e3802320,run2L6,s3857323_1904
7430,3575,e3802320,run2M1,s3859577_5610
7430,3575,e3802320,run2M2,s3865188_5610
7430,3575,e3802320,run2M3,s3870799_5610
7430,3575,e3802320,run2M4,s3876410_5610
7430,3575,e3802320,run2M5,s3882021_5610
7430,3575,e3802320,run2M6,s3887632_5610
7432,2480,e1331017,anat-1-1,s1342506_166_SPRG1_s11
7432,2480,e1331017,anat-1-2,s1342673_166_SPGR2_s12
7432,2480,e1331017,anat-2-1,s1388020_166_SPGR3_s28
7432,2480,e1331017,anat-2-2,s1388187_166_SPGR4_s29
7432,2480,e1331017,run1L1,s1331035_1904_1L1__s4
7432,2480,e1331017,run1L2,s1332940_1904_1L2_s5
7432,2480,e1331017,run1L3,s1334845_1904_1L3_s6
7432,2480,e1331017,run1L4,s1336750_1904_1L4_s7
7432,2480,e1331017,run1L5,s1338655_1904_1L5_s8
7432,2480,e1331017,run1L6,s1340560_1904_1L6_s9
7432,2480,e1331017,run1M1,s1342840_5610_1M1_s13
7432,2480,e1331017,run1M2,s1348451_5610_1M2_s14
7432,2480,e1331017,run1M3,s1354062_5610_1M3_s15
7432,2480,e1331017,run1M4,s1359673_5610_1M4_s16
